DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
05-May-2026,EQ,"2,470.00","2,511.90","2,450.00","2,485.70","2,462.00","2,462.00","2,479.69","2,695.00","1,753.00","16,22,580","4,02,34,90,838.70","62,556"
04-May-2026,EQ,"2,390.40","2,515.00","2,375.00","2,408.40","2,473.00","2,485.70","2,465.73","2,695.00","1,753.00","60,39,537","14,89,18,49,628.40","1,62,128"
30-Apr-2026,EQ,"2,394.90","2,420.00","2,328.80","2,425.90","2,410.50","2,408.40","2,384.26","2,695.00","1,753.00","35,38,354","8,43,63,69,744.70","91,584"
29-Apr-2026,EQ,"2,427.60","2,443.80","2,388.00","2,412.40","2,415.00","2,425.90","2,424.36","2,695.00","1,753.00","46,56,967","11,29,01,60,791.40","1,01,622"
28-Apr-2026,EQ,"2,321.80","2,420.00","2,320.90","2,321.80","2,415.00","2,412.40","2,389.35","2,695.00","1,753.00","43,75,556","10,45,47,32,211.30","1,36,245"
27-Apr-2026,EQ,"2,300.20","2,337.00","2,286.00","2,287.60","2,322.30","2,321.80","2,317.68","2,695.00","1,753.00","15,00,864","3,47,85,15,986.60","59,958"
24-Apr-2026,EQ,"2,310.20","2,321.40","2,227.00","2,300.00","2,282.00","2,287.60","2,271.23","2,695.00","1,753.00","22,71,317","5,15,86,77,471.80","72,842"
23-Apr-2026,EQ,"2,243.50","2,333.90","2,221.80","2,260.80","2,301.00","2,300.00","2,284.37","2,695.00","1,753.00","29,48,009","6,73,43,45,978.20","94,840"
22-Apr-2026,EQ,"2,229.00","2,278.60","2,224.10","2,226.00","2,258.00","2,260.80","2,248.52","2,695.00","1,753.00","35,17,237","7,90,85,72,669.00","88,875"
21-Apr-2026,EQ,"2,229.70","2,255.00","2,220.00","2,229.60","2,230.00","2,226.00","2,234.92","2,695.00","1,753.00","18,18,221","4,06,35,82,208.90","45,092"
20-Apr-2026,EQ,"2,218.30","2,280.10","2,202.20","2,218.30","2,225.60","2,229.60","2,241.76","2,695.00","1,753.00","17,95,338","4,02,47,10,308.50","66,823"
17-Apr-2026,EQ,"2,240.00","2,240.00","2,186.10","2,203.70","2,224.00","2,218.30","2,206.15","2,695.00","1,753.00","24,08,901","5,31,43,91,352.90","66,884"
16-Apr-2026,EQ,"2,170.00","2,210.40","2,161.10","2,144.40","2,210.00","2,203.70","2,183.39","2,695.00","1,753.00","21,88,912","4,77,92,55,813.90","67,177"
15-Apr-2026,EQ,"2,187.00","2,200.00","2,136.00","2,129.00","2,138.00","2,144.40","2,169.44","2,695.00","1,753.00","17,79,015","3,85,94,61,434.50","50,234"
13-Apr-2026,EQ,"2,010.20","2,159.00","2,000.20","2,086.80","2,130.20","2,129.00","2,115.43","2,695.00","1,753.00","37,29,773","7,89,00,80,335.40","1,05,757"
10-Apr-2026,EQ,"2,043.10","2,094.60","2,041.70","2,040.50","2,087.20","2,086.80","2,076.69","2,695.00","1,753.00","17,00,162","3,53,07,03,587.60","55,344"
09-Apr-2026,EQ,"2,039.80","2,065.00","2,010.30","2,043.80","2,040.00","2,040.50","2,039.30","2,695.00","1,753.00","24,81,188","5,05,98,91,348.10","57,605"
08-Apr-2026,EQ,"2,000.00","2,099.00","1,975.10","1,882.10","2,044.90","2,043.80","2,031.33","2,695.00","1,753.00","41,97,831","8,52,71,95,411.70","1,13,934"
07-Apr-2026,EQ,"1,890.00","1,904.60","1,865.00","1,902.20","1,884.00","1,882.10","1,878.98","2,695.00","1,753.00","15,66,909","2,94,41,92,030.00","69,466"
06-Apr-2026,EQ,"1,836.90","1,909.00","1,802.10","1,834.20","1,899.50","1,902.20","1,857.26","2,695.00","1,753.00","31,53,437","5,85,67,48,075.50","1,10,565"
02-Apr-2026,EQ,"1,805.00","1,842.90","1,770.10","1,842.50","1,833.00","1,834.20","1,799.58","2,695.00","1,753.00","18,30,598","3,29,43,05,979.80","69,892"
01-Apr-2026,EQ,"1,825.00","1,870.00","1,803.80","1,758.80","1,841.90","1,842.50","1,844.29","2,695.00","1,753.00","23,28,166","4,29,38,10,919.90","65,838"
30-Mar-2026,EQ,"1,810.00","1,837.80","1,753.00","1,823.00","1,764.00","1,758.80","1,786.59","2,695.00","1,753.00","28,25,299","5,04,76,45,824.60","88,879"
27-Mar-2026,EQ,"1,880.00","1,883.20","1,816.50","1,886.60","1,824.00","1,823.00","1,835.51","2,695.00","1,813.70","25,85,257","4,74,52,52,722.10","74,139"
25-Mar-2026,EQ,"1,847.90","1,911.00","1,839.20","1,817.90","1,885.00","1,886.60","1,887.43","2,695.00","1,813.70","25,37,690","4,78,97,08,231.90","76,536"
24-Mar-2026,EQ,"1,892.70","1,893.00","1,813.70","1,833.00","1,825.20","1,817.90","1,830.21","2,695.00","1,813.70","1,12,11,381","20,51,91,61,045.70","1,43,289"
23-Mar-2026,EQ,"1,910.00","1,910.10","1,820.50","1,927.10","1,831.00","1,833.00","1,844.83","2,695.00","1,820.50","23,70,668","4,37,34,77,678.60","92,190"
20-Mar-2026,EQ,"1,951.00","1,974.40","1,919.90","1,936.80","1,928.90","1,927.10","1,944.09","2,695.00","1,848.00","11,75,662","2,28,55,89,933.80","44,164"
